t,r20,rs
1979/1/1,13.68,11.86
1979/2/1,13.94,12.63
1979/3/1,12.35,11.35
1979/4/1,11.68,11.32
1979/5/1,11.94,11.35
1979/6/1,12.69,12.57
1979/7/1,12.25,13.32
1979/8/1,12.3,13.32
1979/9/1,12.6,13.38
1979/10/1,13.16,13.38
1979/11/1,14.54,15.33
1979/12/1,14.72,15.9
1980/1/1,14.17,15.79
1980/2/1,14.45,16.14
1980/3/1,14.7,16.18
1980/4/1,14.27,16.17
1980/5/1,14.01,16.09
1980/6/1,13.78,15.8
1980/7/1,13.07,14.55
1980/8/1,13.58,14.86
1980/9/1,13.38,14.4
1980/10/1,13.12,14.29
1980/11/1,13.22,13.95
1980/12/1,13.67,13.07
1981/1/1,13.96,12.82
1981/2/1,13.89,12.09
1981/3/1,13.68,11.53
1981/4/1,13.64,11.33
1981/5/1,14.31,11.35
1981/6/1,14.57,12.09
1981/7/1,15.14,13.15
1981/8/1,15.09,13.42
1981/9/1,15.59,13.96
1981/10/1,15.95,15.55
1981/11/1,15.44,14.08
1981/12/1,15.65,14.51
1982/1/1,15.58,14.16
1982/2/1,14.74,13.3
1982/3/1,13.72,12.48
1982/4/1,13.96,12.89
1982/5/1,13.69,12.53
1982/6/1,13.56,12.23
1982/7/1,13.2,11.28
1982/8/1,12.23,10.08
1982/9/1,11.4,9.91
1982/10/1,10.5,8.91
1982/11/1,10.64,9.22
1982/12/1,11.34,9.96
1983/1/1,11.6,10.59
1983/2/1,11.5,10.74
1983/3/1,10.97,10.47
1983/4/1,10.56,9.84
1983/5/1,10.65,9.7
1983/6/1,10.39,9.47
1983/7/1,10.95,9.37
1983/8/1,11.07,9.34
1983/9/1,10.67,9.16
1983/10/1,10.61,8.84
1983/11/1,10.29,8.84
1983/12/1,10.35,8.87
1984/1/1,10.28,8.87
1984/2/1,10.42,8.85
1984/3/1,10.23,8.43
1984/4/1,10.4,8.38
1984/5/1,10.93,8.82
1984/6/1,11.15,8.86
1984/7/1,11.67,10.97
1984/8/1,10.98,10.21
1984/9/1,10.78,10.02
1984/10/1,10.69,9.85
1984/11/1,10.32,9.23
1984/12/1,10.46,9.1
1985/1/1,10.96,10.55
1985/2/1,11.06,12.69
1985/3/1,10.9,12.93
1985/4/1,10.68,11.93
1985/5/1,10.88,11.94
1985/6/1,10.7,11.89
1985/7/1,10.44,11.39
1985/8/1,10.37,10.96
1985/9/1,10.39,11.06
1985/10/1,10.22,11.05
1985/11/1,10.37,11.11
1985/12/1,10.45,11.15
1986/1/1,10.8,11.98
1986/2/1,10.4,12.02
1986/3/1,9.39,11.06
1986/4/1,8.76,9.99
1986/5/1,9,9.7
1986/6/1,9.23,9.32
1986/7/1,9.37,9.45
1986/8/1,9.41,9.39
1986/9/1,9.97,9.61
1986/10/1,10.62,10.25
1986/11/1,10.8,10.63
1986/12/1,10.69,10.66
1987/1/1,10.09,10.52
1987/2/1,9.83,10.29
1987/3/1,9.16,9.35
1987/4/1,9.12,9.43
1987/5/1,8.82,8.46
1987/6/1,8.9,8.54
1987/7/1,9.23,8.84
1987/8/1,9.2,9.79
1987/9/1,9.98,9.69
1987/10/1,9.88,9.45
1987/11/1,9.2,8.43
1987/12/1,9.57,8.19
1988/1/1,9.57,8.37
1988/2/1,9.38,8.79
1988/3/1,9.12,8.27
1988/4/1,9.12,7.74
1988/5/1,9.27,7.54
1988/6/1,9.32,8.88
1988/7/1,9.51,10.05
1988/8/1,9.47,11.13
1988/9/1,9.6,11.53
1988/10/1,9.23,11.54
1988/11/1,9.3,12.07
1988/12/1,9.46,12.54
1989/1/1,9.35,12.45
1989/2/1,9.15,12.39
1989/3/1,9.26,12.41
1989/4/1,9.52,12.47
1989/5/1,9.52,12.54
1989/6/1,9.88,13.59
1989/7/1,9.53,13.29
1989/8/1,9.37,13.32
1989/9/1,9.62,13.44
1989/10/1,9.81,14.46
1989/11/1,9.99,14.45
1989/12/1,9.96,14.5
1990/1/1,10.28,14.5
1990/2/1,10.72,14.45
1990/3/1,11.46,14.57
1990/4/1,11.77,14.59
1990/5/1,11.49,14.5
1990/6/1,11.01,14.38
1990/7/1,11.03,14.32
1990/8/1,11.41,14.31
1990/9/1,11.32,14.26
1990/10/1,11.12,13.37
1990/11/1,10.94,12.92
1990/12/1,10.4,12.96
1991/1/1,10.22,13
1991/2/1,9.89,12.39
1991/3/1,10.06,11.64
1991/4/1,9.99,11.25
1991/5/1,10.15,10.84
1991/6/1,10.34,10.72
1991/7/1,10.1,10.52
1991/8/1,9.89,10.2
1991/9/1,9.54,9.66
1991/10/1,9.62,9.86
1991/11/1,9.68,9.98
1991/12/1,9.56,10.1
1992/1/1,9.34,9.97
1992/2/1,9.21,9.8
1992/3/1,9.54,10.1
1992/4/1,9.33,9.97
1992/5/1,8.99,9.43
1992/6/1,9.02,9.42
1992/7/1,8.9,9.43
1992/8/1,9.13,9.65
1992/9/1,9.12,9.16
1992/10/1,9.24,7.47
1992/11/1,8.84,6.49
1992/12/1,8.84,6.39
1993/1/1,8.92,6.05
1993/2/1,8.63,5.37
1993/3/1,8.33,5.38
1993/4/1,8.39,5.33
1993/5/1,8.6,5.3
1993/6/1,8.39,5.19
1993/7/1,7.96,5.13
1993/8/1,7.39,5.06
1993/9/1,7.18,5.17
1993/10/1,7.09,5.15
1993/11/1,7.06,4.95
1993/12/1,6.46,4.87
1994/1/1,6.41,4.89
1994/2/1,6.83,4.76
1994/3/1,7.47,4.83
1994/4/1,7.83,4.88
1994/5/1,8.24,4.81
1994/6/1,8.55,4.88
1994/7/1,8.41,5.09
1994/8/1,8.52,5.34
1994/9/1,8.72,5.39
1994/10/1,8.63,5.44
1994/11/1,8.53,5.63
1994/12/1,8.44,5.87
1995/1/1,8.61,5.93
1995/2/1,8.52,6.16
1995/3/1,8.5,6.09
1995/4/1,8.39,6.3
1995/5/1,8.18,6.2
1995/6/1,8.16,6.37
1995/7/1,8.36,6.62
1995/8/1,8.24,6.59
1995/9/1,8.09,6.52
1995/10/1,8.34,6.53
1995/11/1,8.01,6.38
1995/12/1,7.94,6.22
1996/1/1,8.09,6.01
1996/2/1,8.52,5.93
1996/3/1,8.54,5.8
1996/4/1,8.44,5.79
1996/5/1,8.49,5.83
1996/6/1,8.4,5.53
1996/7/1,8.38,5.51
1996/8/1,8.47,5.51
1996/9/1,8.19,5.55
1996/10/1,8.05,5.63
1996/11/1,7.64,6.13
1996/12/1,7.72,6.16
1997/1/1,7.73,5.93
1997/2/1,7.55,5.76
1997/3/1,7.86,6.04
1997/4/1,7.7,6.13
1997/5/1,7.33,6.21
1997/6/1,7.17,6.42
1997/7/1,6.89,6.64
1997/8/1,6.99,6.92
1997/9/1,6.58,6.9
1997/10/1,6.43,6.9
1997/11/1,6.27,7.13
1997/12/1,6.19,7.01
1998/1/1,5.96,6.73
1998/2/1,5.85,6.97
1998/3/1,5.62,7.09
1998/4/1,5.71,7
1998/5/1,5.55,7.06
1998/6/1,5.43,7.36
1998/7/1,5.38,7.17
1998/8/1,5.11,7.24
1998/9/1,4.77,6.75
1998/10/1,5,6.56
1998/11/1,4.6,6.24
1998/12/1,4.36,5.56
1999/1/1,4.4,5.29
1999/2/1,4.49,5.01
1999/3/1,4.66,4.83
1999/4/1,4.59,4.88
1999/5/1,4.84,4.88
1999/6/1,4.91,4.66
1999/7/1,4.89,4.82
1999/8/1,4.8,4.8
1999/9/1,4.94,5.14
1999/10/1,4.93,5.22
1999/11/1,4.4,5.18
1999/12/1,4.51,5.6
2000/1/1,4.83,5.75
2000/2/1,4.71,5.83
2000/3/1,4.56,5.83
2000/4/1,4.63,5.95
2000/5/1,4.69,5.94
2000/6/1,4.63,5.83
2000/7/1,4.64,5.83
2000/8/1,4.74,5.8
2000/9/1,4.86,5.75
2000/10/1,4.81,5.71
2000/11/1,4.59,5.72
2000/12/1,4.49,5.69
2001/1/1,4.51,5.57
2001/2/1,4.57,5.46
2001/3/1,4.56,5.29
2001/4/1,4.86,5.11
2001/5/1,4.99,5.02
